Class,Confusion_Matrix,Precision,Recall,F1-Score,Support,Cohen_Kappa
Wake,"[293.0, 379.0, 10.0, 58.0]",0.6743495334221141,0.5046416499875523,0.5234305068904439,740.0,0.19072640450070596
N1/N2,"[134.0, 5039.0, 317.0, 466.0]",0.6097760877353613,0.8390087358568977,0.6962952810979245,5956.0,0.19072640450070596
N3,"[3.0, 1416.0, 349.0, 80.0]",0.4779447508688467,0.2510362441406768,0.26732444823734136,1848.0,0.19072640450070596
REM,"[21.0, 1396.0, 39.0, 357.0]",0.23832671911010037,0.13726842790435267,0.16064456455839957,1813.0,0.19072640450070596
